City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,chonchi,-42.6128,-73.8092,0.62,90,34,1.66,CL,1720092574
116,klyuchi,52.2667,79.1667,23.57,55,98,5.08,RU,1720092851
117,dohad,22.8333,74.2667,31.24,62,98,6.79,IN,1720092852
118,usogorsk,63.4106,48.6872,21.24,51,40,4.89,RU,1720092853
119,darovskoy,58.77,47.9564,32.27,36,22,3.72,RU,1720092854
120,badger,64.8,-147.5333,12.44,82,100,4.77,US,1720092292
121,mbuji-mayi,-6.15,23.6,36.23,15,26,1.93,CD,1720092857
122,el porvenir,13.7617,-87.3458,21.63,86,100,2.07,HN,1720092858
123,koppa,13.5304,75.3633,21.52,92,100,2.24,IN,1720092859
124,howrah,22.5892,88.3103,31.0,79,75,4.12,IN,1720092370
125,geneina,13.45,22.45,30.74,43,84,5.15,SD,1720092862
126,konarka,19.9,86.1167,26.22,75,99,7.83,IN,1720092863
127,west island,-12.1568,96.8225,28.99,79,40,4.63,CC,1720092818
128,dwarka,22.2394,68.9678,30.31,75,100,8.07,IN,1720092865
129,mae ramat,16.984,98.5166,28.18,96,100,0.81,TH,1720092866
130,ad darb,17.7229,42.2526,41.23,24,6,13.13,SA,1720092868
131,ciudad lazaro cardenas,17.9583,-102.2,24.41,87,26,2.18,MX,1720092495
132,revda,56.801,59.9303,30.46,41,27,2.91,RU,1720092870
133,broome,42.2506,-75.833,20.82,82,85,1.79,US,1720092287
134,st. john's,47.5649,-52.7093,15.79,86,75,4.63,CA,1720092873
135,port lincoln,-34.7333,135.8667,12.16,70,77,8.9,AU,1720092874
136,susuman,62.7833,148.1667,14.84,65,43,1.89,RU,1720092875
137,isafjordur,66.0755,-23.124,7.02,76,100,6.17,IS,1720092877
138,pisco,-13.7,-76.2167,15.03,100,100,1.54,PE,1720092482
139,yeosu,34.7546,127.6599,23.5,96,7,2.84,KR,1720092740
140,minas de marcona,-15.2119,-75.1103,10.65,88,32,2.71,PE,1720092882
141,yuzhno-kurilsk,44.0306,145.8556,13.21,97,48,0.97,RU,1720092883
142,samitah,16.596,42.9444,39.82,30,7,11.44,SA,1720092885
143,east london,-33.0153,27.9116,19.52,39,0,10.8,ZA,1720092886
144,pathein,16.7833,94.7333,27.21,85,95,3.05,MM,1720092887
145,fale old settlement,-9.3852,-171.2468,28.4,78,25,10.27,TK,1720092888
146,aswan,24.0934,32.907,42.61,9,0,3.09,EG,1720092760
147,kirovsk,48.6375,38.6428,35.6,16,80,7.31,UA,1720092891
148,knyaze-volkonskoye,48.4642,135.4567,26.19,92,3,2.58,RU,1720092892
149,qinggang,46.6833,126.0833,19.22,93,100,4.42,CN,1720092893
150,belen,36.4891,36.2233,30.22,48,0,10.8,TR,1720092894
151,antigonish,45.6169,-61.9986,16.55,77,99,2.43,CA,1720092896
